"","Views","Title","Department","Details","Amount","Date","Place","ID"
"1","56 views","
                      I Paid Rs. 60 to Food, Civil Supplies and Consumer Affairs in Adilabad.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 60
                        ","November 08, 2015","Adilabad
                      , Telangana","82305"
"2","54 views","
                      I Paid Rs. 300 to Municipal Services in Eluru.
                    ","Municipal Services","Birth Certificate","Paid INR 300
                        ","November 08, 2015","Eluru
                      , Andhra Pradesh","82304"
"3","49 views","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Abohar.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 500
                        ","November 08, 2015","Abohar
                      , Punjab","82303"
"4","45 views","
                      I Paid Rs. 25000 to Municipal Services in Hazaribagh.
                    ","Municipal Services","Birth Certificate","Paid INR 25,000
                        ","November 08, 2015","Hazaribagh
                      , Jharkhand","82302"
"5","49 views","
                      I Paid Rs. 6000 to Income Tax in Chhatarpur.
                    ","Income Tax","New PAN Card","Paid INR 6,000
                        ","November 08, 2015","Chhatarpur
                      , Madhya Pradesh","82300"
"6","39 views","
                      I Paid Rs. 500 to Municipal Services in Abhayapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 500
                        ","November 08, 2015","Abhayapuri
                      , Assam","82299"
"7","41 views","
                      I Paid Rs. 123 to Food, Civil Supplies and Consumer Affairs in Jaunpur.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 123
                        ","November 08, 2015","Jaunpur
                      , Uttar Pradesh","82291"
"8","119 views","
                      Bribe at Sub Registrar Office, Mahadevpura, Bangalore
                    ","Stamps and Registration","Registration of Sale Deed","Paid INR 1,000
                        ","November 08, 2015","Bangalore
                      , Karnataka","82280"
"9","57 views","
                      I Paid Rs. 200 to Municipal Services in Abhayapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 200
                        ","November 08, 2015","Abhayapuri
                      , Assam","82279"
"10","75 views","
                      I Paid Rs. 100 to Police in Abhayapuri.
                    ","Police","Filing FIR","Paid INR 100
                        ","November 07, 2015","Abhayapuri
                      , Assam","82277"
"11","60 views","
                      I Paid Rs. 120 to Railways in Hyderabad.
                    ","Railways","Transport of Goods","Paid INR 120
                        ","November 07, 2015","Hyderabad
                      , Telangana","82273"
"12","58 views","
                      I Paid Rs. 4500 to Municipal Services in Abhayapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 4,500
                        ","November 07, 2015","Abhayapuri
                      , Assam","82272"
